Tributary,Year,Type,Tons,Sdev
Waal,1997,Woody,4722.493913529,2157.3068403
Waal,1997,Non-Woody,67064.28097532,8409.828813787 
Waal,2005,Woody,6606.725458029,2368.47919202
Waal,2005,Non-Woody,65016.03747554,10179.347914226
Waal,2008,Woody,6359.212566259,2255.79510611
Waal,2008,Non-Woody,56162.7594261,10070.144819218
Waal,2012,Woody,6484.1475808,3777.3384241
Waal,2012,Non-Woody,54079.9845085,8640.6819544
Nederrijn/Lek,1997,Woody,1982.02261449,1003.65958663
Nederrijn/Lek,1997,Non-Woody,68705.0096053,6880.63746308
Nederrijn/Lek,2005,Woody,2064.02865656,1060.50343546
Nederrijn/Lek,2005,Non-Woody,63704.2680717,7574.90661216
Nederrijn/Lek,2008,Woody,2315.52357852,1137.79923308
Nederrijn/Lek,2008,Non-Woody,61677.4509754,8049.16228282
Nederrijn/Lek,2012,Woody,2798.67789824,1514.45187798
Nederrijn/Lek,2012,Non-Woody,59641.8147357,8133.6487121
IJssel,1997,Woody,3953.84705316991,1944.1689547857
IJssel,1997,Non-Woody,95381.99026273,8832.4687462681
IJssel,2005,Woody,4069.31169539991,2054.6218413381
IJssel,2005,Non-Woody,88918.428138205,9310.70916633
IJssel,2008,Woody,4345.03193008991,2145.4973084209
IJssel,2008,Non-Woody,86445.145766399,10026.8361011
IJssel,2012,Woody,4343.15586248,2377.33953701774
IJssel,2012,Non-Woody,81843.7032645947,9496.89336846
